rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,0,0.000000,0.000000,0.000000,0,4311
1,4,0.000002,0.000002,0.000443,0,8120
2,96,0.000042,0.000043,0.011068,0,7906
3,88,0.000038,0.000082,0.020807,0,8324
4,96,0.000042,0.000123,0.031432,0,8600
5,102,0.000044,0.000168,0.042721,0,11040
6,104,0.000045,0.000213,0.054232,0,6423
7,167,0.000072,0.000285,0.072715,0,7456
8,334,0.000145,0.000430,0.109681,0,8341
9,312,0.000135,0.000566,0.144212,0,9497
10,298,0.000129,0.000695,0.177194,0,10212
11,330,0.000143,0.000838,0.213717,0,10939
12,454,0.000197,0.001035,0.263965,0,11201
13,603,0.000262,0.001297,0.330703,0,0
14,609,0.000264,0.001561,0.398105,0,11919
15,714,0.000310,0.001871,0.477129,0,12401
16,713,0.000309,0.002181,0.556042,1,0
17,579,0.000251,0.002432,0.620124,1,13088
18,623,0.000270,0.002702,0.689076,1,13180
19,767,0.000333,0.003035,0.773965,1,0
20,968,0.000420,0.003455,0.881100,1,13350
21,1277,0.000554,0.004010,1.022435,1,13865
22,1110,0.000482,0.004491,1.145286,1,0
23,1010,0.000438,0.004930,1.257070,1,14273
24,1073,0.000466,0.005395,1.375827,1,14210
25,1285,0.000558,0.005953,1.518047,2,0
26,1405,0.000610,0.006563,1.673548,2,14410
27,1460,0.000634,0.007197,1.835137,2,14311
28,1708,0.000741,0.007938,2.024173,2,0
29,2048,0.000889,0.008827,2.250840,2,14685
30,2350,0.001020,0.009847,2.510931,3,0
31,2772,0.001203,0.011050,2.817728,3,14724
32,3202,0.001390,0.012440,3.172116,3,14990
33,4001,0.001737,0.014176,3.614935,4,0
34,4599,0.001996,0.016172,4.123939,4,14622
35,5183,0.002250,0.018422,4.697578,5,0
36,5857,0.002542,0.020964,5.345814,5,14981
37,6423,0.002788,0.023752,6.056693,6,14582
38,7456,0.003236,0.026988,6.881901,7,0
39,8341,0.003620,0.030608,7.805059,8,14601
40,9497,0.004122,0.034730,8.856159,9,14875
41,10212,0.004432,0.039162,9.986393,10,0
42,10939,0.004748,0.043910,11.197090,11,14664
43,11201,0.004862,0.048772,12.436784,12,0
44,11919,0.005173,0.053945,13.755944,14,14878
45,12401,0.005382,0.059327,15.128451,15,14641
46,13088,0.005681,0.065008,16.576992,17,0
47,13180,0.005720,0.070728,18.035716,18,14565
48,13350,0.005794,0.076523,19.513255,20,0
49,13865,0.006018,0.082540,21.047793,21,14810
50,14273,0.006195,0.088735,22.627487,23,14756
51,14210,0.006168,0.094903,24.200208,24,0
52,14410,0.006254,0.101157,25.795065,26,14966
53,14311,0.006211,0.107368,27.378965,27,0
54,14685,0.006374,0.113742,29.004258,29,14850
55,14724,0.006391,0.120133,30.633867,31,14778
56,14990,0.006506,0.126639,32.292917,32,0
57,14622,0.006346,0.132985,33.911237,34,14482
58,14981,0.006502,0.139487,35.569290,36,14164
59,14582,0.006329,0.145816,37.183184,37,0
60,14601,0.006337,0.152154,38.799180,39,13902
61,14875,0.006456,0.158610,40.445501,40,14155
62,14664,0.006365,0.164974,42.068470,42,0
63,14878,0.006457,0.171432,43.715124,44,13852
64,14641,0.006355,0.177786,45.335547,45,13680
65,14565,0.006322,0.184108,46.947559,47,0
66,14810,0.006428,0.190536,48.586686,49,13231
67,14756,0.006405,0.196941,50.219837,50,13087
68,14966,0.006496,0.203436,51.876230,52,0
69,14850,0.006445,0.209882,53.519785,54,12480
70,14778,0.006414,0.216296,55.155371,55,11938
71,14482,0.006286,0.222581,56.758197,57,11929
72,14164,0.006148,0.228729,58.325827,58,0
73,13902,0.006034,0.234763,59.864460,60,11371
74,14155,0.006144,0.240906,61.431094,61,11140
75,13852,0.006012,0.246918,62.964193,63,10931
76,13680,0.005938,0.252856,64.478255,64,10648
77,13231,0.005743,0.258599,65.942624,66,10418
78,13087,0.005680,0.264279,67.391055,67,0
79,12480,0.005417,0.269695,68.772305,69,10151
80,11938,0.005181,0.274877,70.093568,70,9757
81,11929,0.005178,0.280054,71.413835,71,9610
82,11371,0.004935,0.284990,72.672344,73,9522
83,11140,0.004835,0.289825,73.905286,74,9530
84,10931,0.004744,0.294569,75.115098,75,9306
85,10648,0.004622,0.299191,76.293587,76,9073
86,10418,0.004522,0.303712,77.446621,77,8657
87,10151,0.004406,0.308118,78.570104,79,8518
88,9757,0.004235,0.312353,79.649980,80,8516
89,9610,0.004171,0.316524,80.713587,81,8298
90,9522,0.004133,0.320657,81.767454,82,16313
91,9530,0.004136,0.324793,82.822207,83,7918
92,9306,0.004039,0.328832,83.852168,84,7953
93,9073,0.003938,0.332770,84.856341,85,7974
94,8657,0.003757,0.336527,85.814473,86,8017
95,8518,0.003697,0.340224,86.757220,87,8218
96,8516,0.003696,0.343921,87.699746,88,8051
97,8298,0.003602,0.347522,88.618145,89,8278
98,8202,0.003560,0.351082,89.525918,90,8560
99,8111,0.003520,0.354602,90.423620,90,16990
100,7918,0.003437,0.358039,91.299961,91,8658
101,7953,0.003452,0.361491,92.180176,92,8298
102,7974,0.003461,0.364952,93.062715,93,8147
103,8017,0.003480,0.368431,93.950013,94,8121
104,8218,0.003567,0.371998,94.859557,95,7954
105,8051,0.003494,0.375493,95.750618,96,7726
106,8278,0.003593,0.379086,96.666803,97,7622
107,8560,0.003715,0.382801,97.614199,98,15360
108,8391,0.003642,0.386443,98.542891,99,7847
109,8599,0.003732,0.390175,99.494603,99,8058
110,8658,0.003758,0.393933,100.452845,100,8196
111,8298,0.003602,0.397534,101.371243,101,8149
112,8147,0.003536,0.401070,102.272930,102,8589
113,8121,0.003525,0.404595,103.171738,103,8533
114,7954,0.003452,0.408047,104.052064,104,8787
115,7726,0.003353,0.411401,104.907155,105,8946
116,7622,0.003308,0.414709,105.750736,106,9318
117,7770,0.003372,0.418081,106.610697,107,9641
118,7590,0.003294,0.421375,107.450736,107,9988
119,7847,0.003406,0.424781,108.319219,108,10144
120,8058,0.003497,0.428279,109.211055,109,10402
121,8196,0.003557,0.431836,110.118164,110,0
122,8149,0.003537,0.435373,111.020072,111,10692
123,8589,0.003728,0.439101,111.970677,112,11013
124,8533,0.003704,0.442804,112.915085,113,10965
125,8787,0.003814,0.446618,113.887604,114,11051
126,8946,0.003883,0.450501,114.877721,115,11260
127,9318,0.004044,0.454545,115.909010,116,0
128,9641,0.004184,0.458730,116.976048,117,11167
129,9988,0.004335,0.463065,118.081491,118,11098
130,10144,0.004403,0.467467,119.204199,119,11294
131,10402,0.004515,0.471982,120.355462,120,11324
132,10692,0.004641,0.476623,121.538822,122,0
133,11013,0.004780,0.481403,122.757708,123,11610
134,10965,0.004759,0.486162,123.971283,124,11836
135,11051,0.004796,0.490958,125.194375,125,11924
136,11260,0.004887,0.495845,126.440599,126,0
137,11167,0.004847,0.500692,127.676530,128,12239
138,11098,0.004817,0.505509,128.904824,129,11981
139,11294,0.004902,0.510411,130.154811,130,12460
140,11324,0.004915,0.515326,131.408118,131,0
141,11610,0.005039,0.520365,132.693079,133,12764
142,11836,0.005137,0.525502,134.003053,134,12957
143,11924,0.005175,0.530678,135.322767,135,0
144,12239,0.005312,0.535990,136.677344,137,13064
145,11981,0.005200,0.541190,138.003366,138,13110
146,12460,0.005408,0.546598,139.382402,139,0
