rk,nk,p_r_rk,sk,rk_prime,round_rk_prime,nk_after_equalization
0,12662,0.004529,0.004529,1.154994,1,12662
1,9470,0.003388,0.007917,2.018823,2,9470
2,9956,0.003561,0.011478,2.926983,3,9956
3,15502,0.005545,0.017024,4.341035,4,15502
4,13505,0.004831,0.021855,5.572926,6,13505
5,16241,0.005810,0.027664,7.054387,7,16241
6,16808,0.006012,0.033677,8.587569,9,16808
7,18615,0.006659,0.040336,10.285580,10,18615
8,17243,0.006168,0.046504,11.858441,12,17243
9,19732,0.007058,0.053562,13.658343,14,19732
10,21350,0.007637,0.061199,15.605834,16,21350
11,21162,0.007570,0.068769,17.536176,18,21162
12,23702,0.008479,0.077248,19.698210,20,23702
13,22982,0.008221,0.085469,21.794568,22,22982
14,23410,0.008374,0.093843,23.929967,24,23410
15,23537,0.008420,0.102263,26.076950,26,23537
16,22279,0.007970,0.110232,28.109182,28,22279
17,23148,0.008280,0.118512,30.220682,30,23148
18,23316,0.008340,0.126853,32.347506,32,23316
19,23372,0.008361,0.135213,34.479439,34,23372
20,23196,0.008298,0.143511,36.595317,37,23196
21,22722,0.008128,0.151639,38.667958,39,22722
22,21370,0.007644,0.159283,40.617273,41,21370
23,21779,0.007791,0.167074,42.603897,43,21779
24,21682,0.007756,0.174830,44.581672,45,21682
25,21532,0.007702,0.182532,46.545764,47,21532
26,21493,0.007688,0.190221,48.506299,49,21493
27,21326,0.007629,0.197849,50.451601,50,21326
28,20847,0.007457,0.205307,52.353210,52,20847
29,20184,0.007220,0.212527,54.194341,54,20184
30,20274,0.007252,0.219779,56.043682,56,20274
31,20612,0.007373,0.227152,57.923855,58,20612
32,20360,0.007283,0.234435,59.781041,60,20360
33,20445,0.007313,0.241749,61.645980,62,20445
34,20469,0.007322,0.249071,63.513108,64,20469
35,20179,0.007218,0.256289,65.353784,65,20179
36,19816,0.007088,0.263378,67.161347,67,19816
37,19912,0.007123,0.270501,68.977668,69,19912
38,19841,0.007097,0.277598,70.787512,71,19841
39,19739,0.007061,0.284659,72.588052,73,19739
40,20082,0.007184,0.291843,74.419879,74,20082
41,19554,0.006995,0.298837,76.203544,76,19554
42,19134,0.006845,0.305682,77.948897,78,19134
43,18574,0.006644,0.312326,79.643168,80,18574
44,18426,0.006591,0.318917,81.323940,81,18426
45,18071,0.006464,0.325382,82.972329,83,18071
46,17567,0.006284,0.331666,84.574745,85,17567
47,17434,0.006236,0.337902,86.165028,86,17434
48,17232,0.006164,0.344066,87.736886,88,17232
49,16648,0.005955,0.350021,89.255473,89,16648
50,15880,0.005681,0.355702,90.704005,91,15880
51,16076,0.005751,0.361453,92.170416,92,16076
52,15390,0.005505,0.366958,93.574251,94,15390
53,15058,0.005386,0.372344,94.947802,95,15058
54,14747,0.005275,0.377620,96.292985,96,14747
55,14560,0.005208,0.382828,97.621110,98,14560
56,14489,0.005183,0.388011,98.942758,99,14489
57,13758,0.004921,0.392932,100.197727,100,13758
58,13785,0.004931,0.397863,101.455159,101,13785
59,13757,0.004921,0.402784,102.710036,103,13757
60,13346,0.004774,0.407559,103.927423,104,13346
61,13498,0.004828,0.412387,105.158675,105,13498
62,13043,0.004666,0.417053,106.348424,106,13043
63,12868,0.004603,0.421656,107.522209,108,12868
64,12474,0.004462,0.426118,108.660054,109,12474
65,12464,0.004459,0.430576,109.796988,110,12464
66,12326,0.004409,0.434986,110.921333,111,12326
67,11725,0.004194,0.439180,111.990857,112,11725
68,11625,0.004158,0.443338,113.051259,113,11625
69,11360,0.004064,0.447402,114.087488,114,11360
70,10972,0.003925,0.451327,115.088325,115,10972
71,10912,0.003903,0.455230,116.083689,116,10912
72,10559,0.003777,0.459007,117.046854,117,10559
73,10276,0.003676,0.462683,117.984203,118,10276
74,10111,0.003617,0.466300,118.906502,119,10111
75,9979,0.003570,0.469870,119.816760,120,9979
76,9879,0.003534,0.473404,120.717897,121,9879
77,9754,0.003489,0.476893,121.607631,122,19534
78,9780,0.003498,0.480391,122.499737,122,19534
79,9728,0.003480,0.483871,123.387100,123,9728
80,9335,0.003339,0.487210,124.238614,124,9335
81,9267,0.003315,0.490525,125.083925,125,9267
82,9598,0.003433,0.493959,125.959430,126,9598
83,9412,0.003367,0.497325,126.817968,127,9412
84,9509,0.003402,0.500727,127.685354,128,9509
85,9429,0.003373,0.504100,128.545442,129,18984
86,9555,0.003418,0.507518,129.417024,129,18984
87,9561,0.003420,0.510938,130.289154,130,9561
88,9347,0.003344,0.514281,131.141763,131,9347
89,9324,0.003335,0.517617,131.992273,132,9324
90,9249,0.003309,0.520925,132.835943,133,9249
91,9024,0.003228,0.524153,133.659088,134,18035
92,9011,0.003223,0.527377,134.481048,134,18035
93,8948,0.003201,0.530577,135.297261,135,8948
94,9126,0.003265,0.533842,136.129711,136,9126
95,8639,0.003090,0.536932,136.917738,137,8639
96,8707,0.003115,0.540047,137.711968,138,8707
97,8841,0.003163,0.543209,138.518421,139,17356
98,8515,0.003046,0.546255,139.295137,139,17356
99,8554,0.003060,0.549315,140.075410,140,8554
100,8700,0.003112,0.552427,140.869001,141,8700
101,8227,0.002943,0.555370,141.619446,142,16164
102,7937,0.002839,0.558210,142.343439,142,16164
103,8516,0.003046,0.561256,143.120246,143,8516
104,7880,0.002819,0.564075,143.839039,144,7880
105,8218,0.002940,0.567014,144.588663,145,16617
106,8399,0.003004,0.570019,145.354798,145,16617
107,8933,0.003195,0.573214,146.169643,146,8933
108,8398,0.003004,0.576218,146.935686,147,8398
109,8642,0.003091,0.579310,147.723987,148,8642
110,8950,0.003202,0.582511,148.540382,149,17772
111,8822,0.003156,0.585667,149.345102,149,17772
112,9030,0.003230,0.588897,150.168795,150,9030
113,9862,0.003528,0.592425,151.068381,151,9862
114,9448,0.003380,0.595805,151.930203,152,9448
115,9118,0.003262,0.599066,152.761923,153,9118
116,9846,0.003522,0.602588,153.660049,154,9846
117,10563,0.003779,0.606367,154.623578,155,20031
118,9468,0.003387,0.609754,155.487224,155,20031
119,10268,0.003673,0.613427,156.423844,156,10268
120,10480,0.003749,0.617176,157.379802,157,10480
121,11297,0.004041,0.621217,158.410285,158,11297
122,10227,0.003658,0.624875,159.343165,159,10227
123,10830,0.003874,0.628749,160.331049,160,10830
